Data from baseball-reference.com,,,,
,,,,
Year,AL Winner,WinsAL,WinsNL,NL Winner
2023,Texas Rangers,4,1,Arizona Diamondbacks
2022,Houston Astros,4,2,Philadelphia Phillies
2021,Houston Astros,2,4,Atlanta Braves
2020,Tampa Bay Rays,2,4,Los Angeles Dodgers
2019,Houston Astros,3,4,Washington Nationals
2018,Boston Red Sox,4,1,Los Angeles Dodgers
2017,Houston Astros,4,3,Los Angeles Dodgers
2016,Cleveland Indians,3,4,Chicago Cubs
2015,Kansas City Royals,4,1,New York Mets
2014,Kansas City Royals,3,4,San Francisco Giants
2013,Boston Red Sox,4,2,St. Louis Cardinals
2012,Detroit Tigers,0,4,San Francisco Giants
2011,Texas Rangers,3,4,St. Louis Cardinals
2010,Texas Rangers,1,4,San Francisco Giants
2009,New York Yankees,4,2,Philadelphia Phillies
2008,Tampa Bay Rays,1,4,Philadelphia Phillies
2007,Boston Red Sox,4,0,Colorado Rockies
2006,Detroit Tigers,1,4,St. Louis Cardinals
2005,Chicago White Sox,4,0,Houston Astros
2004,Boston Red Sox,4,0,St. Louis Cardinals
2003,New York Yankees,2,4,Florida Marlins
2002,Anaheim Angels,4,3,San Francisco Giants
2001,New York Yankees,3,4,Arizona Diamondbacks
2000,New York Yankees,4,1,New York Mets
1999,New York Yankees,4,0,Atlanta Braves
1998,New York Yankees,4,0,San Diego Padres
1997,Cleveland Indians,3,4,Florida Marlins
1996,New York Yankees,4,2,Atlanta Braves
1995,Cleveland Indians,2,4,Atlanta Braves
1994,NoWorldSeries,NoWorldSeries,NoWorldSeries,NoWorldSeries
1993,Toronto Blue Jays,4,2,Philadelphia Phillies
1992,Toronto Blue Jays,4,2,Atlanta Braves
1991,Minnesota Twins,4,3,Atlanta Braves
1990,Oakland Athletics,0,4,Cincinnati Reds
1989,Oakland Athletics,4,0,San Francisco Giants
1988,Oakland Athletics,1,4,Los Angeles Dodgers
1987,Minnesota Twins,4,3,St. Louis Cardinals
1986,Boston Red Sox,3,4,New York Mets
1985,Kansas City Royals,4,3,St. Louis Cardinals
1984,Detroit Tigers,4,1,San Diego Padres
1983,Baltimore Orioles,4,1,Philadelphia Phillies
1982,Milwaukee Brewers,3,4,St. Louis Cardinals
1981,New York Yankees,2,4,Los Angeles Dodgers
1980,Kansas City Royals,2,4,Philadelphia Phillies
1979,Baltimore Orioles,3,4,Pittsburgh Pirates
1978,New York Yankees,4,2,Los Angeles Dodgers
1977,New York Yankees,4,2,Los Angeles Dodgers
1976,New York Yankees,0,4,Cincinnati Reds
1975,Boston Red Sox,3,4,Cincinnati Reds
1974,Oakland Athletics,4,1,Los Angeles Dodgers
1973,Oakland Athletics,4,3,New York Mets
1972,Oakland Athletics,4,3,Cincinnati Reds
1971,Baltimore Orioles,3,4,Pittsburgh Pirates
1970,Baltimore Orioles,4,1,Cincinnati Reds
1969,Baltimore Orioles,1,4,New York Mets
1968,Detroit Tigers,4,3,St. Louis Cardinals
1967,Boston Red Sox,3,4,St. Louis Cardinals
1966,Baltimore Orioles,4,0,Los Angeles Dodgers
1965,Minnesota Twins,3,4,Los Angeles Dodgers
1964,New York Yankees,3,4,St. Louis Cardinals
1963,New York Yankees,0,4,Los Angeles Dodgers
1962,New York Yankees,4,3,San Francisco Giants
1961,New York Yankees,4,1,Cincinnati Reds
1960,New York Yankees,3,4,Pittsburgh Pirates
1959,Chicago White Sox,2,4,Los Angeles Dodgers
1958,New York Yankees,4,3,Milwaukee Braves
1957,New York Yankees,3,4,Milwaukee Braves
1956,New York Yankees,4,3,Brooklyn Dodgers
1955,New York Yankees,3,4,Brooklyn Dodgers
1954,Cleveland Indians,0,4,New York Giants
1953,New York Yankees,4,2,Brooklyn Dodgers
1952,New York Yankees,4,3,Brooklyn Dodgers
1951,New York Yankees,4,2,New York Giants
1950,New York Yankees,4,0,Philadelphia Phillies
1949,New York Yankees,4,1,Brooklyn Dodgers
1948,Cleveland Indians,4,2,Boston Braves
1947,New York Yankees,4,3,Brooklyn Dodgers
1946,Boston Red Sox,3,4,St. Louis Cardinals
1945,Detroit Tigers,4,3,Chicago Cubs
1944,St. Louis Browns,2,4,St. Louis Cardinals
1943,New York Yankees,4,1,St. Louis Cardinals
1942,New York Yankees,1,4,St. Louis Cardinals
1941,New York Yankees,4,1,Brooklyn Dodgers
1940,Detroit Tigers,3,4,Cincinnati Reds
1939,New York Yankees,4,0,Cincinnati Reds
1938,New York Yankees,4,0,Chicago Cubs
1937,New York Yankees,4,1,New York Giants
1936,New York Yankees,4,2,New York Giants
1935,Detroit Tigers,4,2,Chicago Cubs
1934,Detroit Tigers,3,4,St. Louis Cardinals
1933,Washington Nationals,1,4,New York Giants
1932,New York Yankees,4,0,Chicago Cubs
1931,Philadelphia Athletics,3,4,St. Louis Cardinals
